experiment_id,repetition,num_boids,num_preds,maxspeed_pred,minspeed_pred,turn_factor_pred,seed,fish_eaten,fish_remaining
27,1,50,1,8.4,8.492307692307692,0.56,333315/5062PRCS6Y/0/54321,23,27
27,2,50,1,8.4,8.492307692307692,0.56,333315/5062PRCS6Y/0/54321,23,27
28,1,50,1,8.700000000000001,8.784615384615385,0.5800000000000001,345660/5062PRCS6Y/0/54321,23,27
28,2,50,1,8.700000000000001,8.784615384615385,0.5800000000000001,345660/5062PRCS6Y/0/54321,23,27
29,1,50,1,9.0,9.076923076923077,0.6,358005/5062PRCS6Y/0/54321,23,27
29,2,50,1,9.0,9.076923076923077,0.6,358005/5062PRCS6Y/0/54321,22,28
30,1,50,1,9.3,9.36923076923077,0.62,370350/5062PRCS6Y/0/54321,24,26
30,2,50,1,9.3,9.36923076923077,0.62,370350/5062PRCS6Y/0/54321,22,28
31,1,50,1,9.6,9.661538461538461,0.64,382695/5062PRCS6Y/0/54321,23,27
31,2,50,1,9.6,9.661538461538461,0.64,382695/5062PRCS6Y/0/54321,21,29
32,1,50,1,9.9,9.953846153846154,0.66,395040/5062PRCS6Y/0/54321,23,27
32,2,50,1,9.9,9.953846153846154,0.66,395040/5062PRCS6Y/0/54321,23,27
33,1,50,1,10.200000000000001,10.246153846153847,0.68,407385/5062PRCS6Y/0/54321,23,27
33,2,50,1,10.200000000000001,10.246153846153847,0.68,407385/5062PRCS6Y/0/54321,24,26
34,1,50,1,10.5,10.538461538461538,0.7000000000000001,419730/5062PRCS6Y/0/54321,24,26
34,2,50,1,10.5,10.538461538461538,0.7000000000000001,419730/5062PRCS6Y/0/54321,24,26
35,1,50,1,10.8,10.830769230769231,0.7200000000000001,432075/5062PRCS6Y/0/54321,21,29
35,2,50,1,10.8,10.830769230769231,0.7200000000000001,432075/5062PRCS6Y/0/54321,23,27
36,1,50,1,11.1,11.123076923076923,0.74,444420/5062PRCS6Y/0/54321,25,25
36,2,50,1,11.1,11.123076923076923,0.74,444420/5062PRCS6Y/0/54321,23,27
37,1,50,1,11.4,11.415384615384616,0.76,456765/5062PRCS6Y/0/54321,25,25
37,2,50,1,11.4,11.415384615384616,0.76,456765/5062PRCS6Y/0/54321,24,26
38,1,50,1,11.700000000000001,11.707692307692309,0.78,469110/5062PRCS6Y/0/54321,25,25
38,2,50,1,11.700000000000001,11.707692307692309,0.78,469110/5062PRCS6Y/0/54321,24,26
39,1,50,1,12.0,12.0,0.8,481455/5062PRCS6Y/0/54321,24,26
39,2,50,1,12.0,12.0,0.8,481455/5062PRCS6Y/0/54321,23,27
