experiment_id,repetition,num_boids,num_preds,matching_factor,avoid_factor,centering_factor,seed,fish_eaten,fish_remaining
5,2,50,1,0.3,0.07,0.0005,62,28,22
5,3,50,1,0.3,0.07,0.0005,62,30,20
5,4,50,1,0.3,0.07,0.0005,62,31,19
5,5,50,1,0.3,0.07,0.0005,62,32,18
5,6,50,1,0.3,0.07,0.0005,62,31,19
5,7,50,1,0.3,0.07,0.0005,62,26,24
5,8,50,1,0.3,0.07,0.0005,62,29,21
5,9,50,1,0.3,0.07,0.0005,62,35,15
5,10,50,1,0.3,0.07,0.0005,62,31,19
5,11,50,1,0.3,0.07,0.0005,62,32,18
5,12,50,1,0.3,0.07,0.0005,62,36,14
5,13,50,1,0.3,0.07,0.0005,62,33,17
5,14,50,1,0.3,0.07,0.0005,62,31,19
5,15,50,1,0.3,0.07,0.0005,62,30,20
5,16,50,1,0.3,0.07,0.0005,62,31,19
5,17,50,1,0.3,0.07,0.0005,62,34,16
5,18,50,1,0.3,0.07,0.0005,62,30,20
5,19,50,1,0.3,0.07,0.0005,62,32,18
5,20,50,1,0.3,0.07,0.0005,62,31,19
6,1,50,1,0.4,0.07,0.0005,62,29,21
6,2,50,1,0.4,0.07,0.0005,62,30,20
6,3,50,1,0.4,0.07,0.0005,62,31,19
6,4,50,1,0.4,0.07,0.0005,62,32,18
6,5,50,1,0.4,0.07,0.0005,62,31,19
6,6,50,1,0.4,0.07,0.0005,62,33,17
6,7,50,1,0.4,0.07,0.0005,62,35,15
6,8,50,1,0.4,0.07,0.0005,62,34,16
6,9,50,1,0.4,0.07,0.0005,62,32,18
6,10,50,1,0.4,0.07,0.0005,62,31,19
6,11,50,1,0.4,0.07,0.0005,62,30,20
6,12,50,1,0.4,0.07,0.0005,62,34,16
6,13,50,1,0.4,0.07,0.0005,62,32,18
6,14,50,1,0.4,0.07,0.0005,62,33,17
6,15,50,1,0.4,0.07,0.0005,62,33,17
6,16,50,1,0.4,0.07,0.0005,62,34,16
6,17,50,1,0.4,0.07,0.0005,62,34,16
6,18,50,1,0.4,0.07,0.0005,62,32,18
