experiment_id,num_boids,num_preds,matching_factor,seed,frame,time_seconds,fish_eaten,fish_remaining
1,50,1,0.03,42,4700,78.33333333333333,32,18
1,50,1,0.03,42,4800,80.0,33,17
1,50,1,0.03,42,4900,81.66666666666667,34,16
1,50,1,0.03,42,5000,83.33333333333333,34,16
1,50,1,0.03,42,5100,85.0,35,15
1,50,1,0.03,42,5200,86.66666666666667,36,14
1,50,1,0.03,42,5300,88.33333333333333,36,14
1,50,1,0.03,42,5400,90.0,37,13
1,50,1,0.03,42,5500,91.66666666666667,38,12
1,50,1,0.03,42,5600,93.33333333333333,38,12
1,50,1,0.03,42,5700,95.0,39,11
1,50,1,0.03,42,5800,96.66666666666667,39,11
1,50,1,0.03,42,5900,98.33333333333333,40,10
2,50,1,0.05,42,0,0.0,0,50
2,50,1,0.05,42,100,1.6666666666666667,1,49
2,50,1,0.05,42,200,3.3333333333333335,2,48
2,50,1,0.05,42,300,5.0,3,47
2,50,1,0.05,42,400,6.666666666666667,4,46
2,50,1,0.05,42,500,8.333333333333334,5,45
2,50,1,0.05,42,600,10.0,5,45
2,50,1,0.05,42,700,11.666666666666666,6,44
2,50,1,0.05,42,800,13.333333333333334,8,42
2,50,1,0.05,42,900,15.0,8,42
2,50,1,0.05,42,1000,16.666666666666668,9,41
2,50,1,0.05,42,1100,18.333333333333332,10,40
2,50,1,0.05,42,1200,20.0,10,40
2,50,1,0.05,42,1300,21.666666666666668,11,39
2,50,1,0.05,42,1400,23.333333333333332,11,39
2,50,1,0.05,42,1500,25.0,11,39
2,50,1,0.05,42,1600,26.666666666666668,12,38
2,50,1,0.05,42,1700,28.333333333333332,12,38
2,50,1,0.05,42,1800,30.0,13,37
2,50,1,0.05,42,1900,31.666666666666668,13,37
2,50,1,0.05,42,2000,33.333333333333336,14,36
2,50,1,0.05,42,2100,35.0,14,36
2,50,1,0.05,42,2200,36.666666666666664,15,35
2,50,1,0.05,42,2300,38.333333333333336,16,34
2,50,1,0.05,42,2400,40.0,17,33
2,50,1,0.05,42,2500,41.666666666666664,18,32
2,50,1,0.05,42,2600,43.333333333333336,18,32
2,50,1,0.05,42,2700,45.0,19,31
2,50,1,0.05,42,2800,46.666666666666664,19,31
2,50,1,0.05,42,2900,48.333333333333336,19,31
2,50,1,0.05,42,3000,50.0,20,30
2,50,1,0.05,42,3100,51.666666666666664,21,29
2,50,1,0.05,42,3200,53.333333333333336,21,29
2,50,1,0.05,42,3300,55.0,22,28
2,50,1,0.05,42,3400,56.666666666666664,22,28
2,50,1,0.05,42,3500,58.333333333333336,22,28
2,50,1,0.05,42,3600,60.0,23,27
2,50,1,0.05,42,3700,61.666666666666664,23,27
2,50,1,0.05,42,3800,63.333333333333336,24,26
2,50,1,0.05,42,3900,65.0,25,25
2,50,1,0.05,42,4000,66.66666666666667,25,25
2,50,1,0.05,42,4100,68.33333333333333,25,25
2,50,1,0.05,42,4200,70.0,25,25
2,50,1,0.05,42,4300,71.66666666666667,26,24
2,50,1,0.05,42,4400,73.33333333333333,27,23
2,50,1,0.05,42,4500,75.0,28,22
